prompt,response
What is AWS Site-to-Site VPN?,"A service that creates a secure, encrypted tunnel between your on-premises network and your Amazon VPC over the public internet."
What is the typical use case for Site-to-Site VPN vs. Direct Connect?,"Site-to-Site VPN is generally for quick, cost-effective, or redundant hybrid connectivity. Direct Connect is for consistent, high-throughput, and secure dedicated connectivity."
Does Site-to-Site VPN support IPv6?,"Yes, for the inner tunnel traffic (data). The outer tunnel (connection to AWS VPN endpoint) is IPv4."
What is AWS Client VPN?,A managed client-based VPN service that enables users to securely access AWS resources and on-premises networks from anywhere using an OpenVPN client.
What is the difference between Site-to-Site VPN and Client VPN?,"Site-to-Site VPN connects networks (routers), Client VPN connects individual users (laptops/desktops) to a network."
What is AWS Global Accelerator?,A networking service that improves the availability and performance of your applications by directing user traffic to the optimal endpoint over the AWS global network.
How does Global Accelerator improve performance?,"It uses static Anycast IP addresses that direct user traffic to the nearest AWS edge location, then routes it over the high-speed AWS global network to your application endpoints."
What is the benefit of `static IP addresses` in Global Accelerator?,"They remain fixed, simplifying DNS management and client configurations, even if backend endpoints change."
What is `Custom Routing Accelerator` in Global Accelerator?,"A specialized accelerator type designed for applications that require routing multiple users to a specific destination (e.g., gaming servers, VoIP media servers)."
What are AWS VPC Endpoints?,"Features that allow you to privately connect your VPC to supported AWS services and VPC endpoint services powered by AWS PrivateLink, without requiring an Internet Gateway, NAT device, VPN connection, or Direct Connect."
What are the two types of VPC Endpoints?,Gateway Endpoints and Interface Endpoints.
What is a 'Gateway Endpoint'?,"A gateway that you specify as a target in your route table for traffic destined to Amazon S3 or DynamoDB, providing reliable and private connectivity."
What is an 'Interface Endpoint'?,An Elastic Network Interface (ENI) with a private IP address in your subnet that serves as an entry point for traffic to AWS services powered by AWS PrivateLink.
Which VPC Endpoint type supports more AWS services?,Interface Endpoints (powered by AWS PrivateLink).
What is `AWS PrivateLink`?,"A technology that enables private connectivity between VPCs, AWS services, and on-premises applications without exposing traffic to the public internet."
What is an 'Endpoint Service' in PrivateLink?,"A service that you create and expose from your VPC, allowing other AWS accounts to connect to your service privately via an Interface Endpoint."
What are `AWS Transit Gateway Connect` attachments?,"Attachments that enable native integration of SD-WAN appliances with Transit Gateway, improving performance and simplifying routing."
What is `Jumbo Frames` in AWS?,Ethernet frames with a payload greater than 1500 bytes (up to 9001 bytes). They can reduce CPU utilization and improve throughput for large data transfers within a VPC or between peered VPCs/DX.
Where are Jumbo Frames beneficial in AWS?,"Within a VPC, across VPC peering connections (intra-region and inter-region), and over Direct Connect connections."
What is `Enhanced Networking with ENA`?,"Utilizing the Elastic Network Adapter (ENA) to provide high-performance network capabilities for EC2 instances, offering higher bandwidth and lower inter-instance latency."
What is `Elastic Fabric Adapter` (EFA)?,"A network interface for Amazon EC2 instances that enables applications to achieve the performance of an on-premises HPC cluster, specifically for tightly coupled HPC and machine learning workloads, by bypassing the OS network stack."
What is the key difference between ENA and EFA?,"ENA is for general-purpose high-performance networking; EFA provides OS bypass for MPI (Message Passing Interface) and other HPC protocols, reducing latency even further."
What are `VPC Flow Logs`?,"A feature that enables you to capture information about the IP traffic going to and from network interfaces in your VPC, useful for monitoring, troubleshooting, and security analysis."
Where can VPC Flow Logs be published?,"Amazon CloudWatch Logs, Amazon S3, or Amazon Kinesis Data Firehose."
What is `AWS Network Firewall`?,"A managed firewall service that makes it easier to deploy essential network protections for all your Amazon VPCs, offering intrusion prevention, deep packet inspection, and domain filtering."
What types of rules can AWS Network Firewall use?,Stateless rules (examine individual packets) and Stateful rules (examine traffic in the context of a connection).
What is `Traffic Mirroring`?,"A VPC feature that allows you to copy network traffic from an ENI and send it to a destination for out-of-band inspection, troubleshooting, or security analysis."
What are common use cases for Traffic Mirroring?,"Intrusion detection, threat analysis, performance monitoring, and debugging applications."
What is `Route 53 Resolver Endpoints`?,Components of Route 53 Resolver that enable DNS queries between your VPCs and your on-premises networks.
What are `Inbound Resolver Endpoints`?,Allow on-premises DNS servers to query private hosted zones in your VPCs.
What are `Outbound Resolver Endpoints`?,Allow instances in your VPCs to forward DNS queries to on-premises DNS servers for resolution.
What is `Route 53 Resolver DNS Firewall`?,"A feature of Route 53 Resolver that allows you to filter and control DNS queries that originate in your VPCs, blocking queries for known malicious domains or allowing only specific trusted domains."
What is `IPv6 in AWS VPCs`?,"The ability to associate IPv6 CIDR blocks with your VPCs and subnets, enabling dual-stack or IPv6-only environments for your EC2 instances and other resources."
How does IPv6 traffic leave an AWS VPC to the internet?,"Through an Egress-Only Internet Gateway for private subnets, or a standard Internet Gateway for public subnets."
What is `AWS Global DNS` routing with Route 53?,"Leveraging Route 53's global network of DNS servers and various routing policies (e.g., latency-based, geolocation, failover) to direct users to the optimal application endpoint."
What is `Latency-Based Routing` in Route 53?,Routes traffic to the AWS Region that provides the lowest latency for the user.
What is `Geolocation Routing` in Route 53?,Routes traffic to resources based on the geographic location of your users.
What is `Geoproximity Routing` in Route 53?,"Routes traffic to resources based on the geographic location of users and resources, allowing you to bias traffic towards or away from a specific resource location."
What is `Multi-Region Active/Active` architecture in AWS networking?,"Deploying applications in multiple AWS Regions, with traffic simultaneously directed to all healthy regions, typically using Global Accelerator or Route 53 DNS failover."
What is `Multi-Region Active/Passive` architecture?,"Deploying applications in multiple AWS Regions but directing traffic to only one primary region, with failover to a secondary region upon primary failure."
What is `AWS Network Manager`?,A feature of AWS Transit Gateway that provides a central operational dashboard for your global network across AWS and on-premises.
What capabilities does Network Manager provide?,"Centralized topology visualization, network events monitoring, and performance monitoring for your TGW-based hybrid network."
What is `AWS VPC Reachability Analyzer`?,A configuration analysis tool that enables you to perform connectivity testing between a source and destination resource in your VPCs.
What benefits does Reachability Analyzer offer?,"It identifies blocking components (e.g., security groups, NACLs, route tables) when a path is unreachable, and provides hop-by-hop details when a path is reachable."
What are `Security Group Rules` (advanced use)?,Using reference to other security groups or prefix lists for dynamic rule management.
What are `Network ACLs` (NACLs)?,"Stateless packet filters at the subnet level that allow or deny traffic based on rules, providing an additional layer of security."
What is the difference between Security Groups and Network ACLs?,Security Groups are stateful and operate at the instance level. Network ACLs are stateless and operate at the subnet level.
What is `IPv6-only subnets` in AWS?,"The ability to create subnets that only support IPv6 communication, reducing IPv4 address consumption and simplifying network design."
What is `Egress-Only Internet Gateway` (EIGW)?,An IPv6-only gateway that allows instances in your private subnets to initiate outbound connections to the internet while preventing inbound connections from the internet.
What is `AWS Managed Prefix Lists`?,"AWS-managed collections of IP addresses that you can reference in your security groups and network ACLs, simplifying rule management for commonly used AWS services."
